date,T_0,T_1,W_0,W_1,inter_0,inter_1,W_diff,T_diff,const,trend
2021-07-25,0.7725113517289557,0.7207051503629451,0.542265285666553,0.6357388316151227,0.5327269276900969,0.5399248325529657,1.0,0.2210666666666667,1.0,0.2967032967032967
2021-08-01,0.6496681802305275,0.67044590390598,0.46541931172735534,0.46735395189003504,0.38452446133917334,0.3692381772244041,0.40503432494282865,0.40444444444444433,1.0,0.3076923076923077
2021-08-06,0.6765979741529864,0.6619426201175251,0.46541931172735534,0.46735395189003504,0.4004636204624262,0.36455511929507833,0.40503432494282865,0.31404444444444474,1.0,0.3186813186813187
2021-08-12,0.7506811037373385,0.7135153819564466,0.46541931172735534,0.46838487972508175,0.44431181306997386,0.39382487524583043,0.4118993135011486,0.25813333333333316,1.0,0.3296703296703297
2021-08-18,0.4680424574067605,0.5143449706187349,0.45873705312395346,0.45704467353952904,0.3135861403221424,0.27701933777059845,0.3821510297483421,0.356638024691358,1.0,0.34065934065934067
2021-08-23,0.6298987076493189,0.6962322848254408,0.44971600400935713,0.4536082474226937,0.36024423294562014,0.3721620089445172,0.4210526315789953,0.5210666666666666,1.0,0.3516483516483517
2021-08-30,0.6233321690534405,0.5797096439681991,0.45873705312395346,0.4501718213058388,0.363639739263984,0.3075287826932881,0.33638443935923884,0.23813333333333336,1.0,0.3626373626373627
2021-09-03,0.6824310164163465,0.6078119599032147,0.48546608753758,0.48453608247423124,0.42131374842576463,0.3470502026161663,0.3821510297483421,0.16000000000000006,1.0,0.37362637362637363
2021-09-11,0.7192455466294096,0.7480815762184584,0.4921483461410009,0.4948453608247568,0.45015407736576596,0.43622986961178767,0.40503432494282865,0.42702222222222225,1.0,0.38461538461538464
2021-09-23,0.58679706601467,0.502799861735223,0.4620781824256544,0.46735395189003504,0.34481914737045233,0.27690959609745214,0.42791762013731527,0.13333333333333333,1.0,0.39560439560439564
2021-09-25,0.6330771917568984,0.6260974766678189,0.4553959238222525,0.46048109965636436,0.36663488292445817,0.3397431428951417,0.42791762013731527,0.3326222222222223,1.0,0.40659340659340665
2021-10-05,0.494411456514146,0.49343242309021773,0.4353491480120279,0.4364261168384975,0.2737248341007531,0.25376712089081677,0.40503432494282865,0.3443555555555556,1.0,0.4175824175824176
2021-10-06,0.45190359762486904,0.49965433805737985,0.4353491480120279,0.4364261168384975,0.2501908798018752,0.2569669865132579,0.40503432494282865,0.46853333333333325,1.0,0.4285714285714286
2021-10-17,0.3132029339853301,0.3040442447286554,0.4754426996324772,0.4948453608247568,0.18937034991357984,0.17729775127554218,0.5194508009153916,0.31848888888888893,1.0,0.4395604395604396
2021-10-29,0.506182326231226,0.46723124783961284,0.5589709321750768,0.5749140893470748,0.35981907116249334,0.3165423114339882,0.48054919908460836,0.24702222222222223,1.0,0.45054945054945056
2021-11-08,0.3418791477471184,0.3744901486346353,0.6291346475108535,0.5910652920962243,0.27352951316289403,0.26083915986030526,0.107551487414243,0.42666666666666664,1.0,0.46153846153846156
2021-11-10,0.2268948655256724,0.30449360525406155,0.6458402940193771,0.6563573883161542,0.18635359791897455,0.23551332927401233,0.42791762013731527,0.5392888888888889,1.0,0.47252747252747257
2021-11-19,0.3987775061124694,0.3451088835119253,0.6435015035081827,0.6676975945017264,0.3263384118310719,0.27153942091671024,0.5194508009153916,0.20631111111111117,1.0,0.4835164835164836
2021-11-22,0.18005588543485856,0.30449360525406155,0.6692281991313028,0.6470790378006949,0.15323907815581514,0.23218408325809864,0.20594965675063936,0.6584888888888889,1.0,0.4945054945054945
2021-11-30,0.25965770171149144,0.12720359488420324,0.652522552622779,0.6769759450171857,0.21546895821071108,0.10147745326530523,0.5194508009153916,0.0,1.0,0.5054945054945056
2021-12-04,0.1868669228082431,0.14376080193570687,0.9632475776812517,0.9690721649484625,0.2289066113176696,0.16416990362609593,0.33638443935936896,0.2278222222222223,1.0,0.5164835164835165
2021-12-11,0.10988473629060426,0.15326650535776012,0.9632475776812517,0.9793814432989685,0.13460564471128758,0.17688705986100312,0.40503432494282865,0.4481777777777778,1.0,0.5274725274725275
2021-12-16,0.3279077890324834,0.34020048392671964,0.5833611760775088,0.6048109965635851,0.24326365748748066,0.24246638811318955,0.5125858123570717,0.37404444444444446,1.0,0.5384615384615385
2021-12-22,0.0,0.0,0.4553959238222525,0.4718213058419366,0.0,0.0,0.503432494279225,0.3336888888888889,1.0,0.5494505494505495
2021-12-28,0.3360461054837583,0.2596958174904943,0.428666889408607,0.43298969072166216,0.18319211757652054,0.13250719129905694,0.42791762013744533,0.14631111111111111,1.0,0.5604395604395604
2022-01-02,0.41100244498777505,0.46145869339785694,0.6224523889074516,0.6161512027491378,0.3253407924432098,0.3350557456904681,0.32036613272307224,0.47440000000000015,1.0,0.5714285714285715
2022-01-09,0.18323436954243802,0.1473556861389561,0.776144336785828,0.8134020618556695,0.18085786837731327,0.14124370630104763,0.5812356979405314,0.24631111111111115,1.0,0.5824175824175825
2022-01-13,0.12399580859238563,0.1329415831316972,0.8329435349148009,0.8360824742268139,0.13134409225547652,0.1309805782434349,0.3432494279176889,0.36000000000000004,1.0,0.5934065934065934
2022-01-21,0.15179881243450927,0.1634980988593156,0.7627798195790052,0.7628865979381472,0.14725008199219813,0.14698385369643327,0.33638443935936896,0.3678222222222222,1.0,0.6043956043956045
2022-01-24,0.18861334264757249,0.22571724853093672,0.6926161042432284,0.7123711340206248,0.16613187771125273,0.18948201650324561,0.4805491990847384,0.43413333333333337,1.0,0.6153846153846154
2022-02-02,0.26720223541739435,0.22194953335637743,0.7517540928833959,0.7010309278350526,0.2554487989409665,0.18335314002561598,0.0,0.22444444444444445,1.0,0.6263736263736264
2022-02-04,0.2587844917918268,0.2874870376771518,0.8138990978950827,0.8213058419244064,0.267853170004205,0.2782403538609079,0.3752860411900221,0.41440000000000005,1.0,0.6373626373626374
2022-02-14,0.3376528117359413,0.22744555824403734,0.8686936184430238,0.9185567010309206,0.3730138679646742,0.2461956453272284,0.6475972540045946,0.05928888888888895,1.0,0.6483516483516484
